Scrape_Timestamp,Days_to_Departure,Departure_Date,Day_of_Week,Departure_Time,Arrival_Time,Source_City,Destination_City,Airline,Flight_Number,Total_Duration_Mins,Number_of_Stops,CO2_Emissions_Grams,Price_Level,Flight_Category,Price_INR
2026-06-02 17:08:45,30,2026-07-02,Thursday,2:45 AM,8:25 AM,BOM,VTZ,IndiGo,YD 108,340,1,108000,,Cheapest,12823
2026-06-02 17:08:55,60,2026-08-01,Saturday,2:45 AM,8:25 AM,BOM,VTZ,IndiGo,YD 109,340,1,109000,High,Best,12363
2026-06-02 17:08:55,60,2026-08-01,Saturday,2:45 AM,8:25 AM,BOM,VTZ,IndiGo,YD 109,340,1,109000,High,Cheapest,12363
2026-06-02 17:09:08,1,2026-06-03,Wednesday,11:20 PM,1:00 AM,BOM,JAI,IndiGo,,100,0,70000,,Best,12044
2026-06-02 17:09:08,1,2026-06-03,Wednesday,11:20 PM,1:00 AM,BOM,JAI,IndiGo,,100,0,70000,,Cheapest,12044
2026-06-02 17:09:20,3,2026-06-05,Friday,4:00 AM,8:00 AM,BOM,JAI,IndiGo,MD 99,240,1,99000,High,Best,12931
2026-06-02 17:09:20,3,2026-06-05,Friday,4:00 AM,8:00 AM,BOM,JAI,IndiGo,MD 99,240,1,99000,High,Cheapest,12931
2026-06-02 17:09:32,7,2026-06-09,Tuesday,11:20 PM,1:00 AM,BOM,JAI,IndiGo,,100,0,70000,,Best,11151
2026-06-02 17:09:32,7,2026-06-09,Tuesday,11:20 PM,1:00 AM,BOM,JAI,IndiGo,,100,0,70000,,Cheapest,11151
2026-06-02 17:09:46,14,2026-06-16,Tuesday,8:40 AM,10:30 AM,BOM,JAI,IndiGo,,110,0,70000,,Best,11665
2026-06-02 17:09:46,14,2026-06-16,Tuesday,8:40 AM,10:30 AM,BOM,JAI,IndiGo,,110,0,70000,,Cheapest,11665
2026-06-02 17:10:02,30,2026-07-02,Thursday,8:40 AM,10:30 AM,BOM,JAI,IndiGo,,110,0,71000,Typical,Best,11356
2026-06-02 17:10:02,30,2026-07-02,Thursday,8:40 AM,10:30 AM,BOM,JAI,IndiGo,,110,0,71000,Typical,Cheapest,11356
2026-06-02 17:10:17,60,2026-08-01,Saturday,11:20 PM,1:00 AM,BOM,JAI,IndiGo,,100,0,72000,High,Best,11356
2026-06-02 17:10:17,60,2026-08-01,Saturday,11:20 PM,1:00 AM,BOM,JAI,IndiGo,,100,0,72000,High,Cheapest,11356
2026-06-02 17:10:34,1,2026-06-03,Wednesday,10:45 PM,12:40 AM,BOM,COK,IndiGo,,115,0,78000,,Best,16552
2026-06-02 17:10:34,1,2026-06-03,Wednesday,10:45 PM,12:40 AM,BOM,COK,IndiGo,,115,0,78000,,Cheapest,16552
2026-06-02 17:10:47,3,2026-06-05,Friday,10:45 PM,12:40 AM,BOM,COK,IndiGo,,115,0,78000,High,Best,13115
2026-06-02 17:10:47,3,2026-06-05,Friday,10:45 PM,12:40 AM,BOM,COK,IndiGo,,115,0,78000,High,Cheapest,13115
2026-06-02 17:10:59,7,2026-06-09,Tuesday,5:10 PM,7:10 PM,BOM,COK,IndiGo,,120,0,78000,,Best,13115
2026-06-02 17:10:59,7,2026-06-09,Tuesday,5:10 PM,7:10 PM,BOM,COK,IndiGo,,120,0,78000,,Cheapest,13115
2026-06-02 17:11:14,14,2026-06-16,Tuesday,5:10 PM,7:10 PM,BOM,COK,IndiGo,,120,0,78000,High,Best,13115
2026-06-02 17:11:14,14,2026-06-16,Tuesday,5:10 PM,7:10 PM,BOM,COK,IndiGo,,120,0,78000,High,Cheapest,13115
2026-06-02 17:11:25,30,2026-07-02,Thursday,10:45 PM,12:40 AM,BOM,COK,IndiGo,,115,0,80000,,Best,12119
2026-06-02 17:11:25,30,2026-07-02,Thursday,10:45 PM,12:40 AM,BOM,COK,IndiGo,,115,0,80000,,Cheapest,12119
2026-06-02 17:11:39,60,2026-08-01,Saturday,9:00 AM,11:05 AM,BOM,COK,Akasa Air,,125,0,81000,Typical,Best,10698
2026-06-02 17:11:39,60,2026-08-01,Saturday,9:00 AM,11:05 AM,BOM,COK,Akasa Air,,125,0,81000,Typical,Cheapest,10698
2026-06-02 17:11:51,1,2026-06-03,Wednesday,5:00 AM,9:10 AM,BOM,IXC,IndiGo,EL 122,250,1,122000,,Best,19134
2026-06-02 17:11:51,1,2026-06-03,Wednesday,5:00 AM,9:10 AM,BOM,IXC,IndiGo,EL 122,250,1,122000,,Cheapest,19134
2026-06-02 17:12:01,3,2026-06-05,Friday,2:15 PM,4:35 PM,BOM,IXC,IndiGo,,140,0,97000,,Best,16702
2026-06-02 17:12:01,3,2026-06-05,Friday,2:15 PM,4:35 PM,BOM,IXC,IndiGo,,140,0,97000,,Cheapest,16702
2026-06-02 17:12:12,7,2026-06-09,Tuesday,6:50 PM,11:30 PM,BOM,IXC,IndiGo,MD 125,280,1,125000,,Best,15682
2026-06-02 17:12:12,7,2026-06-09,Tuesday,2:55 PM,11:30 PM,BOM,IXC,IndiGo,MD 129,515,1,129000,,Cheapest,15655
2026-06-02 17:12:25,14,2026-06-16,Tuesday,6:50 PM,11:30 PM,BOM,IXC,IndiGo,MD 125,280,1,125000,,Best,15409
2026-06-02 17:12:25,14,2026-06-16,Tuesday,6:50 PM,11:30 PM,BOM,IXC,IndiGo,MD 125,280,1,125000,,Cheapest,15409
2026-06-02 17:12:39,30,2026-07-02,Thursday,7:05 AM,11:40 AM,BOM,IXC,IndiGo,DR 127,275,1,127000,High,Best,15657
2026-06-02 17:12:39,30,2026-07-02,Thursday,8:50 AM,1:20 PM,BOM,IXC,IndiGo,MD 131,270,1,131000,High,Cheapest,15526
2026-06-02 17:12:54,60,2026-08-01,Saturday,8:50 AM,1:20 PM,BOM,IXC,IndiGo,MD 133,270,1,133000,High,Best,15181
2026-06-02 17:12:54,60,2026-08-01,Saturday,8:50 AM,1:20 PM,BOM,IXC,IndiGo,MD 133,270,1,133000,High,Cheapest,15181
2026-06-02 17:13:11,1,2026-06-03,Wednesday,1:20 PM,3:00 PM,BOM,IDR,IndiGo,,100,0,55000,High,Best,12258
2026-06-02 17:13:11,1,2026-06-03,Wednesday,1:20 PM,3:00 PM,BOM,IDR,IndiGo,,100,0,55000,High,Cheapest,12258
2026-06-02 17:13:25,3,2026-06-05,Friday,1:20 PM,3:00 PM,BOM,IDR,IndiGo,,100,0,55000,High,Best,12246
2026-06-02 17:13:25,3,2026-06-05,Friday,1:20 PM,3:00 PM,BOM,IDR,IndiGo,,100,0,55000,High,Cheapest,12246
2026-06-02 17:13:36,7,2026-06-09,Tuesday,10:25 AM,11:50 AM,BOM,IDR,IndiGo,,85,0,51000,High,Best,12246
2026-06-02 17:13:36,7,2026-06-09,Tuesday,10:25 AM,11:50 AM,BOM,IDR,IndiGo,,85,0,51000,High,Cheapest,12246
2026-06-02 17:13:46,14,2026-06-16,Tuesday,1:20 PM,3:00 PM,BOM,IDR,IndiGo,,100,0,55000,,Best,11030
2026-06-02 17:13:46,14,2026-06-16,Tuesday,1:20 PM,3:00 PM,BOM,IDR,IndiGo,,100,0,55000,,Cheapest,11030
2026-06-02 17:13:57,30,2026-07-02,Thursday,4:50 PM,6:15 PM,BOM,IDR,IndiGo,,85,0,52000,Typical,Best,10545
2026-06-02 17:13:57,30,2026-07-02,Thursday,4:50 PM,6:15 PM,BOM,IDR,IndiGo,,85,0,52000,Typical,Cheapest,10545
2026-06-02 17:14:08,60,2026-08-01,Saturday,12:25 PM,1:40 PM,BOM,IDR,Star Air,,75,0,110000,High,Best,9300
2026-06-02 17:14:08,60,2026-08-01,Saturday,12:25 PM,1:40 PM,BOM,IDR,Star Air,,75,0,110000,High,Cheapest,9300
2026-06-02 17:14:17,1,2026-06-03,Wednesday,4:45 AM,6:55 AM,BOM,LKO,IndiGo,,130,0,88000,High,Best,14805
2026-06-02 17:14:17,1,2026-06-03,Wednesday,2:00 PM,7:40 PM,BOM,LKO,IndiGo,EL 133,340,1,133000,High,Cheapest,14336
2026-06-02 17:14:29,3,2026-06-05,Friday,4:45 AM,6:55 AM,BOM,LKO,IndiGo,,130,0,88000,Typical,Best,12951
2026-06-02 17:14:29,3,2026-06-05,Friday,2:45 AM,9:20 AM,BOM,LKO,IndiGo,YD 139,395,1,139000,Typical,Cheapest,12613
2026-06-02 17:14:39,7,2026-06-09,Tuesday,4:45 AM,6:55 AM,BOM,LKO,IndiGo,,130,0,88000,Typical,Best,12561
2026-06-02 17:14:39,7,2026-06-09,Tuesday,10:15 PM,6:40 AM,BOM,LKO,IndiGo,EL 145,505,1,145000,Typical,Cheapest,11298
2026-06-02 17:14:52,14,2026-06-16,Tuesday,4:45 AM,6:55 AM,BOM,LKO,IndiGo,,130,0,88000,Typical,Best,12561
2026-06-02 17:14:52,14,2026-06-16,Tuesday,10:15 PM,6:40 AM,BOM,LKO,IndiGo,EL 145,505,1,145000,Typical,Cheapest,11298
2026-06-02 17:15:09,30,2026-07-02,Thursday,4:00 AM,10:05 AM,BOM,LKO,IndiGo,MD 133,365,1,133000,Typical,Best,10356
2026-06-02 17:15:09,30,2026-07-02,Thursday,4:00 AM,10:05 AM,BOM,LKO,IndiGo,MD 133,365,1,133000,Typical,Cheapest,10356
2026-06-02 17:15:24,60,2026-08-01,Saturday,3:15 PM,8:05 PM,BOM,LKO,IndiGo,YD 149,290,1,149000,High,Best,10987
2026-06-02 17:15:24,60,2026-08-01,Saturday,3:15 PM,8:05 PM,BOM,LKO,IndiGo,YD 149,290,1,149000,High,Cheapest,10987
2026-06-02 17:15:34,1,2026-06-03,Wednesday,9:25 PM,2:15 AM,DEL,BOM,IndiGo,KO 137,290,1,137000,,Best,19957
2026-06-02 17:15:34,1,2026-06-03,Wednesday,9:25 PM,2:15 AM,DEL,BOM,IndiGo,KO 137,290,1,137000,,Cheapest,19957
2026-06-02 17:15:45,3,2026-06-05,Friday,5:00 AM,7:15 AM,DEL,BOM,IndiGo,,135,0,86000,High,Best,13866
2026-06-02 17:15:45,3,2026-06-05,Friday,5:00 AM,7:15 AM,DEL,BOM,IndiGo,,135,0,86000,High,Cheapest,13866
2026-06-02 17:15:58,7,2026-06-09,Tuesday,5:00 AM,7:15 AM,DEL,BOM,IndiGo,,135,0,86000,,Best,14125
2026-06-02 17:15:58,7,2026-06-09,Tuesday,5:40 AM,10:30 AM,DEL,BOM,IndiGo,SR 114,290,1,114000,,Cheapest,13378
2026-06-02 17:16:14,14,2026-06-16,Tuesday,6:40 AM,10:30 AM,DEL,BOM,IndiGo,MD 129,230,1,129000,Typical,Best,12349
2026-06-02 17:16:14,14,2026-06-16,Tuesday,6:40 AM,10:30 AM,DEL,BOM,IndiGo,MD 129,230,1,129000,Typical,Cheapest,12349
2026-06-02 17:16:27,30,2026-07-02,Thursday,4:00 PM,6:20 PM,DEL,BOM,Akasa Air,,140,0,90000,Typical,Best,13116
2026-06-02 17:16:27,30,2026-07-02,Thursday,12:15 AM,5:30 AM,DEL,BOM,IndiGo,MD 115,315,1,115000,Typical,Cheapest,11958
2026-06-02 17:16:39,60,2026-08-01,Saturday,4:00 PM,6:20 PM,DEL,BOM,Akasa Air,,140,0,91000,High,Best,13090
2026-06-02 17:16:39,60,2026-08-01,Saturday,12:15 AM,5:30 AM,DEL,BOM,IndiGo,MD 117,315,1,117000,High,Cheapest,11958
